T1,T2,T3,T4
101.6078,49.0,965.2,24.7
103.1138,49.0,965.2,24.7
104.0753,49.0,965.2,24.7
103.3431,49.0,965.2,24.7
101.4781,49.0,965.2,24.7
100.9709,47.0,965.2,25.2
101.315,47.0,965.2,25.2
99.24931,47.0,965.2,25.2
99.8981,47.0,965.2,25.2
99.699,47.0,965.2,25.2
98.3932,47.0,965.2,25.2
97.7654,47.0,965.2,25.2
101.3232,47.0,965.2,25.2
100.7785,47.0,965.2,25.2
101.7699,47.0,965.2,25.2
100.3599,47.0,965.1,25.3
98.6596,47.0,965.1,25.3
99.6424,47.0,965.1,25.3
99.8309,47.0,965.1,25.3
99.2263,47.0,965.1,25.3
99.6924,47.0,965.1,25.3
100.0189,47.0,965.1,25.3
101.2298,47.0,965.1,25.3
102.6365,47.0,965.1,25.3
102.1509,47.0,965.1,25.3
99.451,46.0,965.0,25.2
97.09029,46.0,965.0,25.2
97.7944,46.0,965.0,25.2
97.8579,46.0,965.0,25.2
98.2935,46.0,965.0,25.2
98.3992,46.0,965.0,25.2
98.0816,46.0,965.0,25.2
98.806,46.0,965.0,25.2
99.7241,46.0,965.0,25.2
99.8892,46.0,965.0,25.2
98.6157,45.0,964.9,25.4
98.6168,45.0,964.9,25.4
98.6881,45.0,964.9,25.4
98.1287,45.0,964.9,25.4
99.3806,45.0,964.9,25.4
99.397,45.0,964.9,25.4
101.9457,45.0,964.9,25.4
102.5,45.0,964.9,25.4
100.9777,45.0,964.9,25.4
100.2592,45.0,964.9,25.4
100.1104,44.0,964.7,26.1
100.2365,44.0,964.7,26.1
100.4158,44.0,964.7,26.1
101.0942,44.0,964.7,26.1
102.0535,44.0,964.7,26.1
102.5216,44.0,964.7,26.1
99.8604,44.0,964.7,26.1
99.3121,44.0,964.7,26.1
97.4502,44.0,964.7,26.1
97.9942,44.0,964.7,26.1
98.2976,42.0,964.7,26.6
99.444,42.0,964.7,26.6
98.3624,42.0,964.7,26.6
99.1611,42.0,964.7,26.6
100.6266,42.0,964.7,26.6
102.5357,42.0,964.7,26.6
101.2841,42.0,964.7,26.6
102.8345,42.0,964.7,26.6
101.59,42.0,964.7,26.6
100.3819,42.0,964.7,26.6
101.6323,40.0,964.6,26.4
102.0929,40.0,964.6,26.4
100.4673,40.0,964.6,26.4
103.2402,40.0,964.6,26.4
102.7762,40.0,964.6,26.4
102.9085,40.0,964.6,26.4
103.9281,40.0,964.6,26.4
102.7724,40.0,964.6,26.4
